Ticket ID,Fault ID,Problem Category,Element Name,Client,Region,subcenter,District,Event Time,Clear Time,Duration,Dealy Reason,Remarks,Incident ID,Reason,Task Comments,Latitude,Longitude
1802565,1904698,Link Down,BBSDR001JNR02 to BBSDR003HTR01_BBSDR16,SComm,Regional Implementation & Operations 2,CTG_South,Bandarban,2023-08-07 14:21:00,2023-08-11 14:28:15,96.12083333329065,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
Backbone POP at Bandorban Cantonment POP goes down from  2023-08-07 14:20:00 due to power issue. As per BD Army concern Mr. Arif (01601789399) Commercial Power is unavailable at Cantonment from yesterday. Currently flood water enter into the signal room. For safety reason army concerns dismantle all the active Equipment along with SComm router to the safe place. Our scomm team also try to move towards  Bandorban but due to worst situation of flood water  CTG to Bandonban road is totally Blocked. Bandarban Cantonment POP goes under Water.
After POP renovation by BD Army and  power restored by PG run then team found River crossing OH fiber cut due to storm near PoP over Sangu River. Team pulled 300 meter OH cable over River by arranged boat locally.  ",070823_008,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 14:26:16][escalated] :BBSDR001JNR02 to BBSDR003HTR01_BBSDR16| is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-11 14:41:40][RTI] :Link is up from 2023-08-11 14:28:15 BDT. Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Nazimuddin team \r\n||[md.samrat][NOC][2023-08-11 14:58:42][Closed] :Link is up from 2023-08-11 14:28:15 BDT. Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Nazimuddin team""",22.1953,92.218
1802555,1904698,Link Down,BBSDR001JNR02 to BBSDR007HTR01_BBTWN2,GP,Regional Implementation & Operations 2,CTG_South,Bandarban,2023-08-07 14:20:00,2023-08-11 14:27:04,96.11777777789393,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
Backbone POP at Bandorban Cantonment POP goes down from  2023-08-07 14:20:00 due to power issue. As per BD Army concern Mr. Arif (01601789399) Commercial Power is unavailable at Cantonment from yesterday. Currently flood water enter into the signal room. For safety reason army concerns dismantle all the active Equipment along with SComm router to the safe place. Our scomm team also try to move towards  Bandorban but due to worst situation of flood water  CTG to Bandonban road is totally Blocked. Bandarban Cantonment POP goes under Water.
After POP renovation by BD Army and  power restored by PG run then team found River crossing OH fiber cut due to storm near PoP over Sangu River. Team pulled 300 meter OH cable over River by arranged boat locally.  ",070823_008,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 14:24:22][escalated] :BBSDR001JNR02 to BBSDR007HTR01_BBTWN2| is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-11 14:41:53][RTI] :Link is up from 2023-08-11 14:28:15 BDT. Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Nazimuddin team \r\n||[md.samrat][NOC][2023-08-11 14:58:54][Closed] :Link is up from 2023-08-11 14:28:15 BDT. Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Nazimuddin team""",22.1953,92.218
1802571,1904698,Link Down,CGRNG016HTR01_CGRNG17 to BBSDR001JNR02,Robi,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-07 14:22:00,2023-08-11 13:53:16,95.52111111109843,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
Backbone POP at Bandorban Cantonment POP goes down from  2023-08-07 14:20:00 due to power issue. As per BD Army concern Mr. Arif (01601789399) Commercial Power is unavailable at Cantonment from yesterday. Currently flood water enter into the signal room. For safety reason army concerns dismantle all the active Equipment along with SComm router to the safe place. Our scomm team also try to move towards  Bandorban but due to worst situation of flood water  CTG to Bandonban road is totally Blocked. Bandarban Cantonment POP goes under Water.
After POP renovation by BD Army and  power restored by PG run then team found River crossing OH fiber cut due to storm near PoP over Sangu River. Team pulled 300 meter OH cable over River by arranged boat locally.  ",070823_008,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 14:26:17][escalated] :CGRNG016HTR01_CGRNG17 to BBSDR001JNR02| is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-11 14:52:03][RTI] :Link is up from 2023-08-11  1:51 PM. Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Titas team \r\n||[sunriz.islam][NOC][2023-08-11 15:39:28][Closed] : Link was down due to Bandarban PoP was down for flood. After power restored by PG run then we found both hand fiber cut due to storm near PoP and Sangu River. Team rectified first hand and the PoP got restored. Restored by Titas team""",22.3569,91.7832
1802862,1904995,Link Down,CGPAT007JNR01_CGPTA48 to CGSTK001JNR01,Robi,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-07 17:13:20,2023-08-09 01:34:32,32.35333333339076,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
OH fiber damaged at multiple location of Gachbaria due to heavy storm. Due to water over flow & electric poll are sparking for short CKT, team were unable to restore initially. After water level decreased some portion team reached at fault point. ",070823_009,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 17:20:15][escalated] :CGPAT007JNR01_CGPTA48 to CGSTK001JNR01|NA is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-07 23:50:15][escalated] :Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team unable to restored this link right now\u00a0 . team\u00a0 will try to restored this link early morning .||[mazharul.haque][Regional Implementation & Operations 2][2023-08-09 01:55:50][RTI] :Link is up from 2023-08-09 01:34:42 BDT. Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm. Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team were unable to restore initially. After water level decreased some portion team reached at fault point. Restored by Nazimuddin and SComm team\r\n||[nayeem.reza][NOC][2023-08-09 02:34:57][Closed] :Link is up from 2023-08-09 01:34:42 BDT. Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm. Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team were unable to restore initially. After water level decreased some portion team reached at fault point. Restored by Nazimuddin and SComm team""",22.3569,91.7832
1802864,1904995,Link Down,CGCHD003HTR01_CGCND16 to CGCHD005JNR01_CGCND11,Robi,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-07 17:15:00,2023-08-09 01:34:04,32.31777777773095,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
OH fiber damaged at multiple location of Gachbaria due to heavy storm. Due to water over flow & electric poll are sparking for short CKT, team were unable to restore initially. After water level decreased some portion team reached at fault point. ",070823_009,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 17:20:15][escalated] :CGCHD003HTR01_CGCND16 to CGCHD005JNR01_CGCND11|NA is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-07 23:50:17][escalated] :Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team unable to restored this link right now\u00a0 . team\u00a0 will try to restored this link early morning .||[mazharul.haque][Regional Implementation & Operations 2][2023-08-09 01:54:53][RTI] :Link is up from 2023-08-09 01:34:42 BDT. Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm. Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team were unable to restore initially. After water level decreased some portion team reached at fault point. Restored by Nazimuddin and SComm team\r\n||[nayeem.reza][NOC][2023-08-09 02:34:10][Closed] :Link is up from 2023-08-09 01:34:42 BDT. Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm. Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team were unable to restore initially. After water level decreased some portion team reached at fault point. Restored by Nazimuddin and SComm team""",22.3569,91.7832
1802847,1904995,Link Down,CGPAT014HTR01_CGPTA01 to CGSTK002JNR01,Robi,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-07 17:13:00,2023-08-09 01:31:53,32.31472222215962,Environmental Issues,"Agreed. Heavy rainfall ongoing from last couple of days at Chattogram metro and Chattogram rural area (Potiya, Chandanaish, Anowara, Lohagara, Keranihat & Banshkhali and Bandarban). All area blocked due to worst situation of flood water. No one can moved and no vehicle can not run at that area. All roads under flooded.Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall.
OH fiber damaged at multiple location of Gachbaria due to heavy storm. Due to water over flow & electric poll are sparking for short CKT, team were unable to restore initially. After water level decreased some portion team reached at fault point. ",070823_009,OH Problem : Fiber Cut Due to Storm/Heavy Rain/Flood,"""[oss_bot][NOC][2023-08-07 17:18:17][escalated] :CGPAT014HTR01_CGPTA01 to CGSTK002JNR01|NA is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-07 23:50:20][escalated] :Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team unable to restored this link right now\u00a0 . team\u00a0 will try to restored this link early morning .||[mazharul.haque][Regional Implementation & Operations 2][2023-08-09 01:56:09][RTI] :Link is up from 2023-08-09 01:34:42 BDT. Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm. Due to\u00a0 water over flow & electric poll are sparking\u00a0 for short\u00a0 CKT\u00a0 team were unable to restore initially. After water level decreased some portion team reached at fault point. Restored by Nazimuddin and SComm team\r\n||[nayeem.reza][NOC][2023-08-09 02:40:04][Closed] :UT: 2023-08-09 01:31:25 \r\n\r\nRC:  Link was down due to fiber damaged at multiple location of Gachbaria due to heavy storm.\r\n\r\n\r\n<CGPAT014HTR01_CGPTA01>dis int 100GE0\/2\/24\r\n100GE0\/2\/24 current state : UP (ifindex: 29)\r\nRx Working range: [-19.030,  -3.500]dBm, Tx Working range: [0.599,  6.499]dBm\r\nRx0 Power: -16.09dBm, Tx0 Power:   2.14dBm\r\nRx1 Power: -15.83dBm, Tx1 Power:   2.74dBm\r\nRx2 Power: -15.78dBm, Tx2 Power:   2.95dBm\r\nRx3 Power: -16.21dBm, Tx3 Power:   2.86dBm\r\nLoopback: none, LAN full-duplex mode, Pause Flowcontrol: Receive Enable and Send Disable\r\nLast physical up time   : 2023-08-09 01:31:48+06:00\r\nLast physical down time : 2023-08-07 17:13:02+06:00\r\n\r\n\r\n""",22.3569,91.7832
1800372,1902493,Link Down,CGCNG003HTR01_CGCDG09 to CGCNG008HTR01_CGCDG28,Robi,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-06 11:16:00,2023-08-07 13:30:55,26.24861111113569,Environmental Issues,"Agreed
Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall. Team tried all alternate solution. OH cable damaged at somser para by unknown people",060823_004,OH Problem : Fiber Cut by Cable TV/ISP/Local Authority,"""[oss_bot][NOC][2023-08-06 11:19:55][escalated] :CGCNG003HTR01_CGCDG09 to CGCNG008HTR01_CGCDG28|NA is down||[mazharul.haque][Regional Implementation & Operations 2][2023-08-06 20:07:00][escalated] :Whole route is submerged under water. Vehicle can\\'t be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall. Team is still trying for alternate solution||[abu.shahadat][Regional Implementation & Operations 2][2023-08-07 13:46:03][RTI] :Link is up. OH cable damaged at somser para by unknown people ||[linun.nahar][NOC][2023-08-07 13:59:46][Closed] :Link is up. OH cable damaged at somser para by unknown people""",22.3569,91.7832
1800931,1902493,Link Down,CGBAY015JNR01_CTG0204 to CGCNG029JNR01_CTG0253,Teletalk,Regional Implementation & Operations 2,CTG_South,Chittagong,2023-08-06 15:34:36,2023-08-07 13:30:44,21.93555555562489,Environmental Issues,"Agreed
Whole route is submerged under water. Vehicle can't be moved in the fault location. waterlogging is in very critical condition due to continuous rainfall. Team tried all alternate solution. OH cable damaged at somser para by unknown people",060823_004,OH Problem : Fiber Cut by Cable TV/ISP/Local Authority,"""[oss_bot][NOC][2023-08-06 15:37:52][escalated] :CGBAY015JNR01_CTG0204 to CGCNG029JNR01_CTG0253| is down||[abu.shahadat][Regional Implementation & Operations 2][2023-08-07 13:45:50][RTI] :Link is up. OH cable damaged at somser para by unknown people ||[linun.nahar][NOC][2023-08-07 14:04:30][Closed] :Link is up. OH cable damaged at somser para by unknown people""",22.3569,91.7832
1803153,1905286,Link Down,TNSDR008HTR01 to TNKLH006HTR01_TNKLH02,Robi,Regional Implementation & Operations 4,Tangail,Tangail,2023-08-07 21:35:00,2023-08-08 14:18:42,16.72833333327435,Safety-Security Issue,"Link actual uptime 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delayed 14 hours due to security issue team moved early morning,also delay due to heavy rainfalls",070823_002,OH Problem : Fiber Burnt by Transformer Blast/Fire Broke out,"""[oss_bot][NOC][2023-08-07 21:42:14][escalated] :TNSDR008HTR01 to TNKLH006HTR01_TNKLH02| is down||[hasibul.hasan][Regional Implementation & Operations 4][2023-08-08 15:11:42][RTI] :Link is up from 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delay due to security issue team moved early morning,also delay due to heavy rainfalls||[zamalur.rahman][NOC][2023-08-08 18:30:15][Closed] :Link is up from 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delay due to security issue team moved early morning,also delay due to heavy rainfalls""",24.3963,89.9471
1803154,1905286,Link Down,TNKLH016HTR01_TNPKR2 to TNKLH017HTR01_TNKLH5,GP,Regional Implementation & Operations 4,Tangail,Tangail,2023-08-07 21:40:00,2023-08-08 14:18:42,16.644999999844,Safety-Security Issue,"Link actual uptime 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delayed 14 hours due to security issue team moved early morning,also delay due to heavy rainfalls",070823_002,OH Problem : Fiber Burnt by Transformer Blast/Fire Broke out,"""[oss_bot][NOC][2023-08-07 21:44:14][escalated] :TNKLH016HTR01_TNPKR2 to TNKLH017HTR01_TNKLH5| is down||[hasibul.hasan][Regional Implementation & Operations 4][2023-08-08 15:11:36][RTI] :Link is up from 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delay due to security issue team moved early morning,also delay due to heavy rainfalls||[zamalur.rahman][NOC][2023-08-08 18:11:09][Closed] :Link is up from 2023-08-08 14:18:01+06:00,Link got down due to electric short circuit fiber burnt,delay due to security issue team moved early morning,also delay due to heavy rainfalls""",24.3963,89.9471
